Nationality,Latitude,Longitude
Argentina,-38.416097,-63.616672
Portugal,39.399872,-8.224454
Brazil,-14.235004,-51.92528
Spain,40.463667,-3.74922
Belgium,50.503887,4.469936
Croatia,45.1,15.2000001
Uruguay,-32.522779,-55.765835
Slovenia,46.151241,14.995463
Poland,51.919438,19.145136
Germany,51.165691,10.451526
France,46.227638,2.213749
England,52.3555177,-1.1743197
Italy,41.87194,12.56738
Egypt,26.820553,30.802498
Colombia,4.570868,-74.297333
Denmark,56.26392,9.501785
Gabon,-0.803689,11.609444
Wales,52.1306607,-3.7837117
Senegal,14.497401,-14.452362
Costa Rica,9.748917,-83.753428
Slovakia,48.669026,19.699024
Netherlands,52.132633,5.291266
Bosnia Herzegovina,43.915886,17.679076
Morocco,31.791702,-7.09262
Serbia,44.016521,21.005859
Algeria,28.033886,1.659626
Austria,47.516231,14.550072
Greece,39.074208,21.824312
Chile,-35.675147,-71.542969
Sweden,60.128161,18.643501
Korea Republic,35.907757,127.766922
Finland,61.92411,25.7481511
Guinea,9.945587,-9.696645
Montenegro,42.708678,19.37439
Armenia,40.069099,45.038189
Switzerland,46.818188,8.227512
Norway,60.472024,8.468946
Czech Republic,49.817492,15.472962
Scotland,56.4906712,-4.2026458
Ghana,7.946527,-1.023194
Central African Rep.,6.611111,20.939444
DR Congo,-4.038333,21.758664
Ivory Coast,7.539989,-5.54708
Russia,61.52401,105.318756
Ukraine,48.379433,31.1655799
Iceland,64.963051,-19.020835
Mexico,23.634501,-102.552784
Jamaica,18.109581,-77.297508
Albania,41.153332,20.168331
Venezuela,6.42375,-66.58973
Japan,36.204824,138.252924
Turkey,38.963745,35.243322
Ecuador,-1.831239,-78.183406
Paraguay,-23.442503,-58.443832
Mali,17.570692,-3.996166
Nigeria,9.081999,8.675277
Cameroon,7.369722,12.354722
Dominican Republic,18.735693,-70.162651
Israel,31.046051,34.851612
Kenya,-0.023559,37.906193
Hungary,47.162494,19.5033041
Republic of Ireland,53.41291,-8.24389
Romania,45.943161,24.96676
United States,37.09024,-95.712891
Cape Verde,16.5388,-23.0418
Australia,-25.274398,133.775136
Peru,-9.189967,-75.015152
Togo,8.619543,0.824782
Syria,34.802075,38.996815
Zimbabwe,-19.015438,29.154857
Angola,-11.202692,17.873887
Burkina Faso,12.238333,-1.561593
Iran,32.427908,53.688046
Estonia,58.595272,25.0136071
Tunisia,33.886917,9.537499
Equatorial Guinea,1.650801,10.267895
New Zealand,-40.900557,174.885971
FYR Macedonia,41.608635,21.745275
United Arab Emirates,23.424076,53.847818
China PR,41.666341,-70.9285571
Guinea Bissau,11.803749,-15.180413
Bulgaria,42.733883,25.48583
Kosovo,42.6026359,20.902977
South Africa,-30.559482,22.937506
Madagascar,-18.766947,46.869107
Georgia,32.1656221,-82.9000751
Tanzania,-6.369028,34.888822
Gambia,13.443182,-15.310139
Cuba,21.521757,-77.781167
Belarus,53.709807,27.953389
Uzbekistan,41.377491,64.585262
Benin,9.30769,2.315834
Congo,-4.038333,21.758664
Mozambique,-18.665695,35.529562
Honduras,15.199999,-86.241905
Canada,56.130366,-106.346771
Northern Ireland,54.7877149,-6.4923145
Cyprus,35.126413,33.429859
Saudi Arabia,23.885942,45.079162
Curacao,12.16957,-68.99002
Moldova,47.411631,28.369885
Bolivia,-16.290154,-63.588653
Trinidad & Tobago,10.691803,-61.222503
Sierra Leone,8.460555,-11.779889
Zambia,-13.133897,27.849332
Chad,15.454166,18.732207
Philippines,12.879721,121.774017
Haiti,18.971187,-72.285215
Comoros,-11.6455,43.3333
Libya,26.3351,17.228331
Panama,8.537981,-80.782127
São Tomé & Príncipe,0.18636,6.613081
Eritrea,15.179384,39.782334
Oman,21.4735329,55.975413
Iraq,33.223191,43.679291
Burundi,-3.373056,29.918886
Fiji,-17.713371,178.065032
New Caledonia,-20.904305,165.618042
Lithuania,55.169438,23.881275
Luxembourg,49.815273,6.129583
Korea DPR,40.339852,127.510093
Liechtenstein,47.166,9.555373
St Kitts Nevis,17.357822,-62.782998
Latvia,56.879635,24.603189
Suriname,3.919305,-56.027783
Uganda,1.373333,32.290275
El Salvador,13.794185,-88.89653
Bermuda,32.3078,-64.7505
Kuwait,29.31166,47.481766
Antigua & Barbuda,17.060816,-61.796428
Thailand,15.870032,100.992541
Mauritius,-20.348404,57.552152
Guatemala,15.783471,-90.230759
Liberia,6.428055,-9.429499
Kazakhstan,48.019573,66.923684
Niger,17.607789,8.081666
Mauritania,21.00789,-10.940835
Montserrat,16.742498,-62.187366
Namibia,-22.95764,18.49041
Azerbaijan,40.143105,47.576927
Guam,13.444304,144.793731
Faroe Islands,61.892635,-6.9118061
India,20.593684,78.96288
Nicaragua,12.865416,-85.207229
Barbados,13.193887,-59.543198
Lebanon,33.854721,35.862285
Palestine,31.952162,35.233154
Guyana,4.860416,-58.93018
Sudan,12.862807,30.217636
St Lucia,13.909444,-60.978893
Ethiopia,9.145,40.489673
Puerto Rico,18.220833,-66.590149
Grenada,12.1165,-61.679
Jordan,30.585164,36.238414
Rwanda,-1.940278,29.873888
Qatar,25.354826,51.183884
Afghanistan,33.93911,67.709953
Hong Kong,22.3193039,114.1693611
Andorra,42.506285,1.521801
Malta,35.937496,14.375416
Belize,17.189877,-88.49765
South Sudan,6.8769919,31.3069788
Indonesia,-0.789275,113.921327
Botswana,-22.328474,24.684866
